KundenNummer;KundenNummeralt;Titel;Vorname;Name-1;Name-2;Name-3;PO-BOX;Strasse;PLZ;Ort;Tel;Fax;UID;Prozent;Rechnungsanzahl;Anrede;Land;Email
183;0;0;;Buchholz;Fachinformationsdienst GmbH;;;Radweg 1;66450;BEXBACH;06826/93430;06826/934343;DE151111785;0,00;1;0;12;
185;0;0;;Schweitzer Sortiment oHG;Fachbuchhandlung;;;Elsenheimerstraße 41-43;80687;MÜNCHEN;089 5 51 34 - 235, Fr. Schnieders;089 55134-101;DE129985290;0,00;1;1;12;
186;0;0;;ESIA Books and Journals S.r.l.;;;;Via Palestro, 30;00185;ROMA RM;esia@esia.it;06 4747743;IT 01955411002;0,00;1;1;15;
187;0;0;;F. Delbanco Jens-Peter Cohrs;GmbH  & Co. KG;;1447;Bessemerstrasse 3;21304;LÜNEBURG;+49 4131 2428-0;+49 4131 2428-12;DE153072089;0,25;1;0;12;
188;0;0;;Fachbuchhandlung Hennies und Zinkeisen;Inh.: Buchhandlung Decius GmbH;;;Halberstädter Str. 112;39112;MAGDEBURG;0391/6225702 Frau Müller;0391/600798;DE115648560;0,25;1;0;12;
189;0;0;;Lehmanns Media GmbH;siz /  service internationale Zeitschriften;Abo 121548;;Helmholzstrasse 2-9;10587;BERLIN;+49 (0) 30/61 79 11-54;+49 (0) 30/61 79 11-62;DE811123673;0,25;1;4;12;siz@lehmanns.de
190;0;0;;A. Stein'sche Buchhandlung GmbH;VN 58013;;;Steinerstraße 10;59457;WERL;++49 2922 / 82011;++49 2922 / 82013;DE126633535;0,00;1;0;12;bestellung@buchversand-stein.de
191;0;0;;Universitätsbuchhandlung Beneke GmbH;;;;Gartenstraße 18;72074;TÜBINGEN;07071-22803;07071-922972;DE146891228;0,25;1;0;12;beneke@libronet.de
192;0;0;;Hoser & Mende KG;;;;Charlottenplatz 17;70173;STUTTGART;0711-16354-94;0711-16354-25;DE147514515;0,25;1;0;12;f.kroeschell@schweitzer-online.de
193;0;0;;Dovoz tisku Praha;Suweco CZ, s.r.o.;;;Klecakova 347/5;180 21;PRAHA 9;00420 266317368;00420 284821646;CZ25094769;0,25;1;0;26;fiserova@suweco.cz
194;0;0;;Vermessung  Braczek;;;;Hauptstraße 60b/4;3021;Pressbaum;02233 53039;02233 53039-4;KEINE;0,00;1;5;2;tb.braczek@aon.at
195;0;0;;Oberschule für Geometer;"P. Anich";;;Fagenstraße 8;39100;BOZEN;0471/287406;0471/260854;KEINE;0,00;1;0;15;ofg.bozen@schule.suedtirol.it
196;0;0;;LSL GmbH;;;;Gerichtsweg 28;04103;LEIPZIG;+49 (0341) 9954 286;+49 (0341) 9954 272;DE141498777;0,25;1;0;12;anke.grossmann@lsl.de
197;0;0;;Matthäus Truppe;Buchhandlung & Antiquariat;;;Stubenberggasse 7;8010;Graz;0316/ 82 95 52;0316/ 82 95 52;ATU27616407;0,25;1;0;2;truppe@aon.at
198;0;0;;Buchkaiser GmbH;z.Hd. Fr. Schwarz;;;Kaiserstr. 199;76133;KARLSRUHE;0721/92929-51;0721/9292991;DE143592532;0,00;1;0;12;
199;0;0;;Vexcel;;;;;;;;;KEINE;0,00;1;0;0;
200;0;0;Thomas;Hildebrandt;;;;Dornbacherstraße 43 Top 24;1170;Wien;0676 727 80 97;;KEINE;0,00;1;3;2;hildebrandt@aon.at
201;0;0;;Littrade Literaturservice e.U.;Mag. Tina Nicolussi;;;Währinger Strasse 3/7;1090;Wien;958 15 19, 968 02 65;968 27 52;ATU62002834;0,25;1;0;2;office@littrade.at
202;0;12;Reimar;Kretz;;;;Hörschinger Str. 7;4063;Hörsching;+43-7221-73783-0;+43-7221-73783-14;ATU63326706;0,00;0;3;2;office@kretzphoto.eu
203;0;0;;ikon VerlagsGesmbH;;;;Industriestraße B16;2345;Brunn am Gebirge;2236 35600 12;2236 377470;ATU49644201;0,25;1;0;2;cermak@ikon.co.at
204;0;0;;Tiefbauamt;Dipl. Ing. Peter Jehle;;;Städtle 38;9490;VADUZ;+423 / 236 60 73;+423 / 236 60 79;KEINE;0,00;1;0;32;Waltraud.Marxer@ba.llv.li
205;0;0;;ABE-IPS;;;;ul. Grzybowska 37A;00-855;WARSZAWA;+48 22 654 06 75 wew. 21;+48 22 652 07 67;PL5260012190;0,25;1;0;20;malgorzata.zdanowska@abc.pl
206;0;0;;Juergen Ganske;Libri GmbH;CM Zeitschriften / Subscriptions;;Friedensallee 273;22763;HAMBURG;+49 (40) 85398-7236;+49 (40) 85398-7802;DE217908460;0,00;1;1;12;JGanske@libri.de
207;0;0;;Magistrat der Landeshauptstadt Linz;Planung, Technik und Umwelt;z.h. Frau Magauer;;Hauptstraße 1-5;4041;Linz;0732/7070-3131;;KEINE;0,00;1;0;2;
208;0;0;;D.E.A S.p.A.;;;;VIA P. BOCCANELLI 27;00138;ROMA;+39 06 852121;+39 06 8543228;IT00901181008;0,25;1;0;15;rmabb@deanet.it
209;0;0;;Stephanus-Buchhandlung;;;;Herrenstr. 34;76133;Karlsruhe;0721-91952-27;0721-91952-22;DE 230 996 863;0,25;1;0;12;einkauf@stephanusbuch.de
211;0;0;;LFZ Raumberg-Gumpenstein;Bibliothek;;;Raumberg 38;8952;Irdning;+43 (0)3682/22451-245;+43 (0)3682/22451-210;ATU38701507;0,00;1;0;2;Doris.Schoenthaler@raumberg-gumpenstein.at
212;0;0;;vub GmbH;Verkehrs-Nr.:41545;;;Sedanstr. 31-33;50668;KÖLN;(0221)20792-0;;DE122649251;0,00;0;0;12;abo@vub.de
213;0;0;;Licosa S.P.A.;;;;Via Duca di Calabria 1/1;50125;FIRENZE;+3905564831;+39055641257;IT00431920487;0,25;1;1;15;marzia.matteini@licosa.com
214;0;0;;LeserAuskunft GmbH;;;;Wilhelm-Schickard-Str. 12;76131;KARLSRUHE;0721 9638482;0721 96383482;DE218877919;0,25;1;0;12;buchhandlung@leserauskunft.de
215;0;0;;PRESS - Import of Scientific Publications;;;;ul. Sienna 63/40, P.O.Box 116;00-820;WARSZAWA;0048228750448;;PL5270164228;0,25;1;0;20;journals@press.com.pl
216;0;0;;CHZ ARS POLONA;SUBSCRIPTION DEPARTMENT;;;OBRONCOW 25;03-933;WARSAW;+48(22)509-86-00;+48(22)509-86-50;PL5251700016;0,25;1;0;20;arspolona@arspolona.com.pl
217;0;0;;rmDATA GmbH;;;;Industriestraße 6;7423;Pinkafeld;+43 3357 43333;-76;KEINE;0,00;1;0;2;weiss@rmdatagroup.com
218;0;0;;Hochschule für Technik Stuttgart;Bibliothek;;;Schellingstr. 24;70174;STUTTGART;+49 (0)711 8926 2609;+49 (0)711 8926 2666;DE811579497;0,00;1;0;12;kerstin.kornmann@hft-stuttgart.de
219;0;0;;boysen+mauke oHG;Schweitzer Fachinformationen;;;Burchardstraße 21;20095;HAMBURG;+49 40 44183-114;+49 40 44183-140;DE185853340;0,25;1;0;12;
220;0;0;;Lehmanns Media AG;(vormals: Huber & Lang);;;Schanzenstrasse 1;3008;Bern;;;KEINE;0,25;1;0;22;info@lehmanns.ch
221;0;0;;Kerst & Schweitzer oHG;;;;Solmsstrasse 75;60486;Frankfurt am Main;+49 (69) 46 09 34 - 62;+49 (0)69 46 09 34 - 11;DE 191164601;0,25;1;0;12;A.Wickstroem@schweitzer-online.de
222;0;0;;Mladinska knjiga Trgovina;Subscription Department;;;Slovenska 29;1000;LJUBLJANA;;;SI48494216;0,25;1;0;24;Mojca.Kosir@mk-trgovina.s
223;0;0;;Casalini Libri S.P.A.;;;;Via Benedetto da Maiano 3;50014;Fiesole;;;IT03106600483;0,00;1;4;15;
224;0;6;Siegfried;Rohrmoser;;;;Palfengasse 43;5600;St. Johann/Pg.;;;KEINE;0,00;1;3;2;vermessung@sbg.at
225;0;0;;Karger Libri;;;;Allschwilerstrasse 10;4009;Basel;;;KEINE;0,25;1;4;22;
226;0;0;;ARIANNA CASALINI;;;;Via Benedetto da Maiano 3;50014;Fiesole;;;KEINE;0,00;1;;15;ornella.nembi@casalini.it
227;0;0;;WIN.PDF-Eingangsrechnung@wienernetze.at;Wiener Netze GmbH;;;Erdbergerstraße 236;1110;Wien;;;;0,00;1;4;2;
228;0;0;;;;;;;;;;;KEINE;0,00;1;;0;
229;0;0;;Menschen im Vertrieb;BeratungsgesmbH & Co. KG;;;Stempfergasse 3;8010;Graz;0316 225079;;KEINE;0,00;1;4;2;t.m@menschen-im-vertrieb.at
