KNummer;ANummer;HAnreden;HTitel;HVorname;HName1;HName2;HName3;POBH;HStrasse;HPLZI;HPLZ;HOrt;HLand;HGZ;Rückstand;Gutschrift;AAnreden;ATitel;AVorname;AName1;AName2;AName3;ALand;POBA;AStrasse;AOrt;APLZI;Aplz;UID;Prozen;Preis;Rechnungsanzahl;Heftanzahl;Gesamtpreis;Rabatt;Total;MwSt;UST;PREISbrutto;ABOAnfang;ABOEnde
80;911;;;Georg E.;Karras;;;;Lerou 12;GR;113 64;ATHEN;GREECE;tel.Bestellg/Hög;0,00;0,00;;;Georg E.;KARRAS;;;GREECE;;Lerou 12;ATHEN;GR;113 64;KEINE;0,00;75,00;1;1;75,00;-0,00;75,00;0,10;7,50;82,50;1.1.1992 00:00:00;31.12.2003 00:00:00
29;916;;;;SLUB Dresden;Referat Zeitschriften;;;Zellescher Weg 18;D;01069;DRESDEN;GERMANY;40920119;56,25;0,00;;;;Swets Information Services B.V.;UKP;c/o P.O.Box 65;GROSSBRITANNIEN;;;ABINGDON - OXON OX14 1WA;GB;;NL808377632B01;0,25;75,00;1;1;75,00;-18,75;112,50;0,00;0,00;112,50;1.1.1993 00:00:00;
81;922;;;;Landesamt f. Flurneuordnung;& Landentwicklung Bad.-Württ.;;;Stuttgarter Str. 161;D;70806;KORNWESTHEIM;GERMANY;Z/Li-Land;0,00;0,00;Buchhandlung;;;AIGNER GmbH;;;GERMANY;;Asenalstr 8 Postfach 120;LUDWIGSBURG;D;71638;DE146153843;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1992 00:00:00;31.12.2003 00:00:00
82;925;;;;IKT Linz GmbH;;;;Gruberstraße 40-42;A;4020;Linz;AUSTRIA;72803;0,00;0,00;;;;IKT Linz GmbH;;;AUSTRIA;;Gruberstraße 40-42;Linz;A;4020;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1991 00:00:00;31.12.2011 00:00:00
83;927;;;;Landesvermessungsamt Sachsen;Geodäsie & Kartographie Dresden;;100306;;D;01073;DRESDEN;GERMANY;011/D01;0,00;0,00;;;;LANDESVERMESSUNGSAMT SACHSEN;Geodäsie & Kartographie Dresden;;GERMANY;100306;;DRESDEN;D;01073;DE155309101;0,00;75,00;1;1;75,00;-0,00;75,00;0,00;0,00;75,00;1.1.1991 00:00:00;31.12.2002 00:00:00
29;943;;;;Swets Blackwell B.V.;;;845;;NL;2160 SZ;LISSE;THE NETHERLANDS;45560307;0,00;0,00;;;;Swets Information Services B.V.;UKP;c/o P.O.Box 65;GROSSBRITANNIEN;;;ABINGDON - OXON OX14 1WA;GB;;NL808377632B01;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1996 00:00:00;31.12.2002 00:00:00
85;955;;;;Krische-Mencke-Blaesing;Subscription Agency & Bookseller;;;Universitätsstrasse 16;D;91011;ERLANGEN;GERMANY;;0,00;0,00;;;;KRISCHE-MENCKE-BLAESING;SUBSCRIPTION AGENCY & BOOKSELLER;;GERMANY;;Universitätsstrasse 16;ERLANGEN;D;91011;DE812277765;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.2004 00:00:00;31.12.2007 00:00:00
86;957;;Dipl.-Ing.;Oliver;Schmechtig;;;;Brunnhäuslsiedlung 66/02;A;5531;Eben im Pongau;AUSTRIA;;0,00;0,00;;Dipl.-Ing.;Oliver;SCHMECHTIG;;;AUSTRIA;;Brunnhäuslsiedlung 66/02;Eben im Pongau;A;5531;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1992 00:00:00;
87;964;;;;Joanneum Research;Digital - Fer;;;Steyrergasse 17;A;8010;Graz;AUSTRIA;Schumnik G.;0,00;0,00;;;;JOANNEUM RESEARCH;Forschungsgesellschaft mbH;;AUSTRIA;;Leonhardstraße 59;Graz;A;8010;ATU28781306;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1992 00:00:00;
178;998;Buchhandlung;;;Schweitzer Sortiment;;;;Canovagasse 7/6;A;1010;Wien;AUSTRIA;21120-01/14809431;0,00;0,00;;;;Schweitzer Sortiment Wien oHG;;;AUSTRIA;;Canovagasse 7/6;Wien;A;1010;ATU50810706;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1992 00:00:00;31.12.2002 00:00:00
88;999;;;Johann;Simenko;;;;Sailergasse 13;A;8430;Kaindorf a.d.Sulm;AUSTRIA;schriftl.;0,00;0,00;;;Johann;SIMENKO;;;AUSTRIA;;Sailergasse 13;Kaindorf a.d.Sulm;A;8430;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1992 00:00:00;31.12.2003 00:00:00
89;1043;;;;Fachhochschule Magdeburg;Hochschulbibliothek;;;Breitscheidstr. 2 Haus 1;D;39114;MAGDEBURG;GERMANY;E - Z 2021193;0,00;0,00;;;;MINERVA GMBH;Scientific Booksellers & Pub.;;GERMANY;;Morgensternstr.37;FRANKFURT/MAIN;D;60596;DE114189233;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1993 00:00:00;31.12.2003 00:00:00
90;1061;;;;Cvut - Fakulta Stavebni;Ustredni knihovna;;;Thakurova 7;CZ;166 29;PRAHA 6;TSCHECHISCHE REPUBLIK;97920/2773;0,00;0,00;;;;GEORG LINGENBRINK GMBH & CO.;;;GERMANY;;Gutenbergring 53;NORDERSTEDT;D;22848;DE117983939;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1994 00:00:00;31.12.2001 00:00:00
67;1062;;;;Ennskraftwerke AG;;Frau Blach;17;;A;4403;Steyr;AUSTRIA;;0,00;0,00;Firma;;;Morawa GmbH & Co KG;Buchhandlung und Zeitungsbüro;Business Subscription Services;AUSTRIA;;Postfach 99;Wien;A;1127;ATU10240602;0,25;60,00;1;1;60,00;-15,00;45,00;0,10;4,50;49,50;1.1.1993 00:00:00;
92;1069;;;;Stadtgemeinde Klosterneuburg;GA IV/1 -  Baubehörde;;;Rathausplatz 1;A;3400;Klosterneuburg;AUSTRIA;;0,00;0,00;;;;STADTGEMEINDE KLOSTERNEUBURG;GA IV/1 -  Stadtplanung;;AUSTRIA;;Rathausplatz 1;Klosterneuburg;A;3400;KEINE;0,25;60,00;1;1;60,00;-15,00;45,00;0,10;4,50;49,50;1.1.1994 00:00:00;
94;1078;;;Anton;Allmer;Technisches Büro - Vermessung;;;Ring 271;A;8230;Hartberg;AUSTRIA;;0,00;0,00;;;Anton;ALLMER;Technisches Büro - Vermessung;;AUSTRIA;;Ring 271;Hartberg;A;8230;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1994 00:00:00;31.12.2012 00:00:00
96;1086;;;;Universitätsbibliothek BW;;;;Werner-Heisenberg-Weg 39;D;85579;NEUBIBERG;GERMANY;6612.0;0,00;0,00;;;;EX LIBRIS;Buchhandelsgesellschaft;;GERMANY;;Ferd.-Dirichs-Weg 28;FRANKFURT/MAIN;D;60529;DE114147935;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.2015 00:00:00;31.12.2016 00:00:00
97;1087;;;;Stadtgemeinde Wolfsberg;;Herrn Dipl.- Ing. Sand;;Rathausplatz 1;A;9400;Wolfsberg;AUSTRIA;;0,00;0,00;;;;STADTGEMEINDE WOLFSBERG;;Herrn Dipl.- Ing. Sand;AUSTRIA;;Rathausplatz 1;Wolfsberg;A;9400;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1994 00:00:00;
98;1090;;;;Stadtgemeinde Völkermarkt;;Herrn Koschier;;Hauptplatz 1;A;9100;Völkermarkt;AUSTRIA;;0,00;0,00;;;;STADTGEMEINDE VÖLKERMARKT;;Herrn Koschier;AUSTRIA;;Hauptplatz 1;Völkermarkt;A;9100;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1994 00:00:00;31.12.2004 00:00:00
193;1094;;;;NyME Geoinformatikai Kar;Konyvtara;;;Pirosalma U. 1-3.;H;8002;SZÉKESFEHÉRVAR;HUNGARY;290480;0,00;0,00;;;;Dovoz tisku Praha;Suweco CZ, s.r.o.;;TSCHECHISCHE REPUBLIK;;Klecakova 347/5;PRAHA 9;CZ;180 21;CZ25094769;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1994 00:00:00;31.12.2009 00:00:00
100;1096;;;;STADT:SALZBURG - Magistrat;Stadtarchiv und Statistik;für Vermessungsamt;;Glockengasse 8;A;5024;Salzburg;AUSTRIA;B 265/94 ZV/03;0,00;0,00;;;;MAGISTRAT SALZBURG;Amtsbücherei;;AUSTRIA;63;;Salzburg;A;5024;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1994 00:00:00;
101;1097;Amt der;;;Stadt Bregenz;;Herrn Bischof Hans;;Belruptstraße 1;A;6900;Bregenz;AUSTRIA;;0,00;0,00;;;;Landeshauptstadt Bregenz;;;AUSTRIA;;Rathausstraße 4;Bregenz;A;6900;ATU 37170404;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1994 00:00:00;
102;1098;Amt der;;;Stadt Dornbirn;Abt. Plan- u. Datenservice;zH Herrn Arnold Weiß;;Rathausplatz 2;A;6850;Dornbirn;AUSTRIA;3352/510;0,00;0,00;Amt der;;;STADT DORNBIRN;Abt. Plan- u. Datenservice;Herrn Klocker Elmar;AUSTRIA;;Rathausplatz 2;Dornbirn;A;6850;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1994 00:00:00;31.12.2011 00:00:00
67;1108;;;;Magistrat der Stadt Wels;Einlaufstelle;;;Stadtplatz 1;A;4600;Wels;AUSTRIA;;0,00;0,00;Firma;;;Morawa GmbH & Co KG;Buchhandlung und Zeitungsbüro;Business Subscription Services;AUSTRIA;;Postfach 99;Wien;A;1127;ATU10240602;0,25;60,00;1;1;60,00;-15,00;45,00;0,10;4,50;49,50;1.1.1994 00:00:00;31.12.2002 00:00:00
105;1112;;;;Stadtgemeinde Knittelfeld;;Herrn Dipl.-Ing. Wölle Nikolai;;Hauptplatz 15;A;8728;Knittelfeld;AUSTRIA;;0,00;0,00;;;;STADTGEMEINDE KNITTELFELD;;Herrn Dipl.-Ing. Wölle Nikolai;AUSTRIA;;Hauptplatz 15;Knittelfeld;A;8728;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1994 00:00:00;
106;1113;;;;Kärntner Landesregierung;Abt. 20 - Landesplanung;;;Wulfengasse 13;A;9020;Klagenfurt;AUSTRIA;;0,00;0,00;;;;KÄRNTNER LANDESREGIERUNG;Abt. 20 - Landesplanung;;AUSTRIA;;Wulfengasse 13;Klagenfurt;A;9020;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1994 00:00:00;31.12.2004 00:00:00
107;1116;;;;Gemeinde Neuberg;Bezirk Güssing;;;;A;7535;Neuberg;AUSTRIA;;0,00;0,00;;;;GEMEINDE NEUBERG;Bezirk Güssing;;AUSTRIA;;;Neuberg;A;7535;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1994 00:00:00;31.12.2002 00:00:00
109;1118;;;;Marktgemeinde Neudörfl;;;;Rathaus;A;7201;Neudörfl;AUSTRIA;;0,00;0,00;;;;MARKTGEMEINDE NEUDÖRFL;;;AUSTRIA;;Rathaus;Neudörfl;A;7201;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1995 00:00:00;31.12.2014 00:00:00
110;1120;;Ing.;Karl;Knotzer;;;;Rosenhügel 25;A;7503;Großpetersdorf;AUSTRIA;;0,00;0,00;;Ing.;Karl;KNOTZER;;;AUSTRIA;;Rosenhügel 25;Großpetersdorf;A;7503;KEINE;0,00;60,00;1;0;0,00;-0,00;0,00;0,10;0,00;0,00;1.1.1994 00:00:00;31.12.2005 00:00:00
113;1131;;;;BM f. Landesverteidigung;Kdo FüU;IMG;;AG Stiftgasse 2a;A;1070;Wien;AUSTRIA;959086/1;0,00;0,00;;;;MINERVA;Wissenschaftliche Buchhandlung GmbH;;AUSTRIA;;Ignaz-Köck-Strasse 9;Wien;A;1210;ATU 14893203;0,25;60,00;1;1;60,00;-15,00;45,00;0,10;4,50;49,50;1.1.1995 00:00:00;31.12.2007 00:00:00
114;1134;;;Dieter;Strasser;Informationstechnik GmbH;;;Schillerplatz 3;A;3100;St. Pölten;AUSTRIA;;0,00;0,00;;;Dieter;STRASSER;Informationstechnik GmbH;;AUSTRIA;;Schillerplatz 3;St. Pölten;A;3100;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1995 00:00:00;31.12.2002 00:00:00
116;1149;;;;Atos IT Solutions and Services GmbH & Co KG;Herr Klein;;;Siemensstraße 92;A;1210;Wien;AUSTRIA;MS 74/95;0,00;0,00;;;;Atos IT Solutions and Services GmbH;;;AUSTRIA;;Siemensstraße 92;Wien;A;1210;ATU66190855;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1995 00:00:00;31.12.2015 00:00:00
117;1159;;;;Umwelt- u. EDV-Beratung GmbH;;Herrn Dipl.-Ing. Paul Seibitz;;Wiedner Hauptstrasse 19;A;1040;Wien;AUSTRIA;;0,00;0,00;;;;UMWELT - u. EDV-BERATUNG GmbH;;;AUSTRIA;;Wiedner Hauptstrasse 19;Wien;A;1040;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1995 00:00:00;31.12.2003 00:00:00
120;1171;;Dipl.-Ing.;Gerolf;Laserer;;;;Salzburgerstrasse 27a;A;5620;Schwarzach;AUSTRIA;;0,00;0,00;;Dipl.-Ing.;Gerolf;LASERER;;;AUSTRIA;;Salzburgerstrasse 27a;Schwarzach;A;5620;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1995 00:00:00;31.12.2003 00:00:00
113;1177;;;;Minerva;Wissenschaftliche Buchhandlung GmbH;;;Ignaz-Köck-Strasse 9;A;1210;Wien;AUSTRIA;982582/1;0,00;0,00;;;;MINERVA;Wissenschaftliche Buchhandlung GmbH;;AUSTRIA;;Ignaz-Köck-Strasse 9;Wien;A;1210;ATU 14893203;0,25;60,00;1;1;60,00;-15,00;45,00;0,10;4,50;49,50;1.1.1997 00:00:00;31.12.2001 00:00:00
124;1181;;Dipl.-Ing.;Arnulf;Zopp;;;;Hofkirchenstrasse 8a;A;5020;Salzburg;AUSTRIA;;0,00;0,00;;Dipl.-Ing.;Arnulf;ZOPP;;;AUSTRIA;;Hofkirchenstrasse 8a;Salzburg;A;5020;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1996 00:00:00;31.12.2008 00:00:00
29;1182;;;;Swets Blackwell B.V.;;;845;;NL;2160 SZ;LISSE;THE NETHERLANDS;46041729;0,00;0,00;;;;Swets Information Services B.V.;UKP;c/o P.O.Box 65;GROSSBRITANNIEN;;;ABINGDON - OXON OX14 1WA;GB;;NL808377632B01;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1996 00:00:00;31.12.2002 00:00:00
77;1187;;;;Szechenyi Istvan Egyetem;Szechenyi Istvan Univ. Library;Egytemi Könyvar / Ms. Lencse;701;;H;9007;GYOER;HUNGARY;C5799717;0,00;0,00;;;;EBSCO International Inc., USA;c/o EBSCO Info Services GmbH;;GERMANY;;Sachsendamm 2-7;BERLIN;D;10829;ATU52940304;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1996 00:00:00;31.12.2011 00:00:00
29;1188;;;;Swets Information Services;;;45;;NL;6930;AA WESTERVOORT;THE NETHERLANDS;51643790;0,00;0,00;;;;Swets Information Services B.V.;UKP;c/o P.O.Box 65;GROSSBRITANNIEN;;;ABINGDON - OXON OX14 1WA;GB;;NL808377632B01;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1996 00:00:00;31.12.2010 00:00:00
145;1192;;;;Geodetski Fakultet;Zavod Za Kartografifu/N/R;Prof.Dr.SC. W. Francula;;Fra A. Kacica Miosica 26;KR;10000;ZAGREB;KROATIEN;1592-22-579/2002;0,00;0,00;;;;TAMARIS;Book Import and Subscription;;KROATIEN;;Petrinjska 11;ZAGREB;KR;10000;KEINE;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1996 00:00:00;31.12.2004 00:00:00
128;1193;;;;Magistrat Steyr;Rathaus;;;Stadtplatz 27;A;4400;Steyr;AUSTRIA;GHJ 1 - 170, le;0,00;0,00;;;;MAGISTRAT STEYR;Rathaus;;AUSTRIA;;Stadtplatz 27;Steyr;A;4400;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1997 00:00:00;
29;1195;;;;Swets Blackwell BV;;;845;;NL;2160;SZ LISSE;THE NETHERLANDS;54750105;0,00;0,00;;;;Swets Information Services B.V.;UKP;c/o P.O.Box 65;GROSSBRITANNIEN;;;ABINGDON - OXON OX14 1WA;GB;;NL808377632B01;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1997 00:00:00;31.12.2003 00:00:00
136;1201;;;;Bibliothek Geodäsie;Fachbereich 13;Techn. Univ. Darmstadt;;Petersenstrasse 13;D;64287;DARMSTADT;GERMANY;;0,00;0,00;;;;S. Toeche-Mittler;Verlagsbuchhandlung GmbH;;GERMANY;;Hindenburgstraße 33;DARMSTADT;D;64295;DE111660672;0,25;75,00;0;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1997 00:00:00;
141;1204;Buchhandlung;;;Witsch,  Behrendt & Schweitzer OHG;Fach- u. Universitätsbuchhandlung;;103743;;D;50477;KÖLN;GERMANY;41540;0,00;0,00;Buchhandlung;;;Witsch und Behrendt;ZNL der Golthe + Schweitzer GmbH;;GERMANY;103743;;KÖLN;D;50477;DE119263102;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1997 00:00:00;31.12.2006 00:00:00
77;1205;;;;Earth Sciences Info Center;Natural Resources Canada;;;RM 121 - 615 Booth St.;CDN;K1A OE9;OTTAWA ON;CANADA;BU6102074;0,00;0,00;;;;EBSCO International Inc., USA;c/o EBSCO Info Services GmbH;;GERMANY;;Sachsendamm 2-7;BERLIN;D;10829;ATU52940304;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1997 00:00:00;31.12.2004 00:00:00
142;1207;Herr;;;Stürmer;Wolfgang;;;Pettenbacher Strasse 15;A;4655;Vorchdorf;AUSTRIA;;0,00;0,00;Herr;;Wolfgang;STÜRMER;;;AUSTRIA;;Pettenbacher Strasse 15;Vorchdorf;A;4655;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1990 00:00:00;
143;1208;Herr;Dipl.-Ing.;Wolfgang;Waagner;;;;Bindergasse 8;A;5020;Salzburg;AUSTRIA;;60,00;0,00;Herr;Dipl.-Ing.;Wolfgang;WAAGNER;;;AUSTRIA;;Bindergasse 8;Salzburg;A;5020;KEINE;0,00;60,00;1;1;60,00;-0,00;120,00;0,10;12,00;132,00;1.1.1990 00:00:00;
144;1209;;;;Wasserstrassendirektion;Abteilung 5;;;Hetzgasse 2;A;1030;Wien;AUSTRIA;;0,00;0,00;;;;WASSERSTRASSENDIREKTION;Abteilung 5;Reg.Rat Ing. Wanek;AUSTRIA;;Hetzgasse 2;Wien;A;1030;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1997 00:00:00;31.12.2002 00:00:00
77;1210;;;;US Geological Survey Lib;NATL CTR MS 950;;;12201 Sunrise Valley Dr;USA;;RESTON VA 20192;USA;BC0231571;0,00;0,00;;;;EBSCO International Inc., USA;c/o EBSCO Info Services GmbH;;GERMANY;;Sachsendamm 2-7;BERLIN;D;10829;ATU52940304;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.2008 00:00:00;31.12.2008 00:00:00
146;1211;Büro;;;Crepas Rinaldo;;;;Bosch da Plang 298;I;39030;LA VILLA;ITALY;;0,00;0,00;Büro;;;CREPAS Rinaldo;;;ITALY;;Bosch da Plang 298;LA VILLA;I;39030;KEINE;0,00;75,00;1;0;0,00;-0,00;0,00;0,10;0,00;0,00;1.1.1998 00:00:00;31.12.2005 00:00:00
113;1213;;;;Eötvös Lorand University;Egyetemi Könyvtar;;233;;H;1364;BUDAPEST;HUNGARY;983830/1;0,00;0,00;;;;MINERVA;Wissenschaftliche Buchhandlung GmbH;;AUSTRIA;;Ignaz-Köck-Strasse 9;Wien;A;1210;ATU 14893203;0,25;60,00;1;1;60,00;-15,00;45,00;0,10;4,50;49,50;1.1.1997 00:00:00;31.12.2003 00:00:00
148;1214;Herr;Dipl.-Ing.;;Kronawetter;Edmund;;;St. Martiner Strasse 25;A;9500;Villach;AUSTRIA;;0,00;0,00;Herr;Dipl.-Ing.;Edmund;KRONAWETTER;;;AUSTRIA;;St. Martiner Strasse 25;Villach;A;9500;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1998 00:00:00;31.12.2005 00:00:00
149;1216;Herr;Dipl.-Ing.;Anton;Schabl;Schabl & Partner OEG;Technisches Büro & Unternehmensberatung;;Untere Viaduktgasse 53/5a;A;1030;Wien;AUSTRIA;;0,00;0,00;Herr;Dipl.-Ing.;Anton;SCHABL;Schabl & Partner OEG;Technisches Büro & Unternehmensberatung;AUSTRIA;;Untere Viaduktgasse 53/5a;Wien;A;1030;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1998 00:00:00;31.12.2009 00:00:00
150;1217;Herr;Ing.;Martin;Gasparics;Vermessungsbüro;;;Auersperggasse 19;A;8010;Graz;AUSTRIA;;0,00;0,00;Herr;Ing.;Martin;GASPARICS;Vermessungsbüro;;AUSTRIA;;Auersperggasse 19;Graz;A;8010;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1998 00:00:00;31.12.2015 00:00:00
145;1218;;;;Nima;1998 SUBS;;;3200 South Second Street;USA;GIMSC/L-83;ST. LOUIS;USA;159815M;0,00;0,00;;;;TAMARIS;Book Import and Subscription;;KROATIEN;;Petrinjska 11;ZAGREB;KR;10000;KEINE;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1998 00:00:00;31.12.2003 00:00:00
29;1219;;;;Drzavna Geodetska Uprava;Sanja Zekusic;;;Gruska 20;KR;10000;ZAGREB;KROATIEN;68441967;0,00;0,00;;;;Swets Information Services B.V.;UKP;c/o P.O.Box 65;GROSSBRITANNIEN;;;ABINGDON - OXON OX14 1WA;GB;;NL808377632B01;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1998 00:00:00;31.12.2002 00:00:00
152;1220;;;;lantmäteriverket;Biblioteket;;;;S;80182;GÄVLE;SCHWEDEN;69741;0,00;0,00;;;;PRENAX;Prenax Ab Prenumeration;;SCHWEDEN;15122;;BROMMA;S;16115;SE556540747401;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1998 00:00:00;31.12.2003 00:00:00
193;1221;;;;Vysoke Uceni Technicke  v Brne;Ustredni knihovna;CR01/1751;;Antoninska 548/1;CZ;662 98;BRNO;TSCHECHISCHE REPUBLIK;991059/1;0,00;0,00;;;;Dovoz tisku Praha;Suweco CZ, s.r.o.;;TSCHECHISCHE REPUBLIK;;Klecakova 347/5;PRAHA 9;CZ;180 21;CZ25094769;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1998 00:00:00;31.12.2006 00:00:00
153;1223;;;;Nawijn & Polak;Subscription Department;;;Marktplein 24;NL;7311 LR;APELDOORN;THE NETHERLANDS;;0,00;0,00;;;;NAWIJN & POLAK;Subscription Department;;THE NETHERLANDS;;Marktplein 24;APELDOORN;NL;7311 LR;NL812701203B01;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1998 00:00:00;31.12.2006 00:00:00
154;1224;;;;IFG-Verlag;;;;Odenwaldring 38;D;63069;OFFENBACH;GERMANY;;0,00;0,00;;;;IFG-VERLAG;;;GERMANY;;Odenwaldring 38;OFFENBACH;D;63069;DE113603905;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1990 00:00:00;31.12.2003 00:00:00
67;1225;Firma;;;Morawa & Co.KG;Buchhandlung und Zeitungsbüro;Business Subscription Services;;Postfach 99;A;1127;Wien;AUSTRIA;;0,00;0,00;Firma;;;Morawa GmbH & Co KG;Buchhandlung und Zeitungsbüro;Business Subscription Services;AUSTRIA;;Postfach 99;Wien;A;1127;ATU10240602;0,25;60,00;1;1;60,00;-15,00;45,00;0,10;4,50;49,50;1.1.1998 00:00:00;
29;1228;;;;Swets Blackwell;Subscription Service;;845;;NL;2160;SZ LISSE;THE NETHERLANDS;72144297;0,00;0,00;;;;Swets Information Services B.V.;UKP;c/o P.O.Box 65;GROSSBRITANNIEN;;;ABINGDON - OXON OX14 1WA;GB;;NL808377632B01;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1999 00:00:00;31.12.2003 00:00:00
156;1231;Büro;;;Brunner und Strobl;;;;Karlsgasse 12;A;3430;Tulln;AUSTRIA;;0,00;0,00;Büro;;;BRUNNER und STROBL;;;AUSTRIA;;Karlsgasse 12;Tulln;A;3430;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1990 00:00:00;
158;1233;Herr;Dipl.-Ing.;Stefan;Rudig;;;;Templstraße 14;A;6020;Innsbruck;AUSTRIA;;0,00;0,00;Herr;Dipl.-Ing.;Stefan;RUDIG;;;AUSTRIA;;Templstraße 14;Innsbruck;A;6020;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.2000 00:00:00;31.12.2003 00:00:00
113;1234;;;;Österreichische Bundesbahnen;Personalentwicklung/RC;z.H. Herrn Bräuer;;Elisabethstraße 9;A;1010;Wien;AUSTRIA;908231/1;0,00;0,00;;;;MINERVA;Wissenschaftliche Buchhandlung GmbH;;AUSTRIA;;Ignaz-Köck-Strasse 9;Wien;A;1210;ATU 14893203;0,25;60,00;1;1;60,00;-15,00;45,00;0,10;4,50;49,50;1.1.1999 00:00:00;31.12.2003 00:00:00
159;1235;;;;Institut f. Photogr. u. GeoInformation;Leibniz Universität Hannover;;;Nienburger Strasse 1;D;30167;HANNOVER;GERMANY;;0,00;0,00;;;;Institut f. Photogr. u. GeoInfo.;Leibniz Universität Hannover;;GERMANY;;Nienburger Strasse 1;HANNOVER;D;30167;DE811245527;0,00;75,00;1;1;75,00;-0,00;75,00;0,00;0,00;75,00;1.1.2000 00:00:00;
160;1236;;;;Vyzkumny Ustav Geodeticky;Eva Lhotakova;;;Ustecka 98;CZ;25066;ZDIBY;TSCHECHISCHE REPUBLIK;;0,00;0,00;;;;Vyzkumny Ustav Geodeticky;Eva Lhotakova;;TSCHECHISCHE REPUBLIK;;Ustecka 98;ZDIBY;CZ;25066;CZ00025615;0,00;75,00;1;1;75,00;-0,00;75,00;0,00;0,00;75,00;1.1.2000 00:00:00;
